lignee	horloge	clock	frac_gc_changing	u	v	lambda_	demi_vie_ans	gc_eq	subs_par_genome_par_an	dGC_ppm_6000ans	dGC_ppm_20000ans	dGC_ppm_100000ans	dGC_ppm_1000000ans
L4	hi	2e-07	0.8521583538358309	1.4241326276685632e-07	1.8526428337070117e-07	3.276775461375575e-07	2115333.1643571495	0.43461404190042335	0.7825875999999999	-430.62105579507715	-1432.1171781009732	-7067.64730312296	-61257.2967377239
L5	central	1e-07	0.8710292249047014	6.093641100729529e-08	1.009551630607263e-07	1.6189157406802158e-07	4281551.924800653	0.3764026099449239	0.39129379999999997	-269.37359814071857	-896.8953759644386	-4455.577452780715	-41470.048102951194
L5	lo	5e-08	0.8710292249047014	3.0468205503647644e-08	5.047758153036315e-08	8.094578703401079e-08	8563103.849601306	0.3764026099449239	0.19564689999999998	-134.71950605657793	-448.8106874134106	-2236.8051827490617	-21573.772549900103
L5	hi	2e-07	0.8710292249047014	1.2187282201459058e-07	2.019103261214526e-07	3.2378314813604317e-07	2140775.9624003265	0.3764026099449239	0.7825875999999999	-538.4856674250628	-1790.891452100136	-8839.603601230638	-76741.70991944875
L6	central	1e-07	0.8982730706961684	5.986863015264305e-08	1.0568707500571884e-07	1.655557051583619e-07	4186791.2670053686	0.3616222714606897	0.39129379999999997	-290.14189487071457	-966.0198919312212	-4798.271720067434	-44588.28553006011
L6	lo	5e-08	0.8982730706961684	2.9934315076321526e-08	5.284353750285942e-08	8.277785257918095e-08	8373582.534010737	0.3616222714606897	0.19564689999999998	-145.10697341911768	-483.4097711353024	-2409.0655690606777	-23216.346864923238
L6	hi	2e-07	0.8982730706961684	1.197372603052861e-07	2.1137415001143768e-07	3.311114103167238e-07	2093395.6335026843	0.3616222714606897	0.7825875999999999	-579.995724961411	-1928.8464714027727	-9517.759272210527	-82373.40888385609
L7	central	1e-07	0.908816880180859	8.164016260306345e-08	9.577404187149667e-08	1.774142044745601e-07	3906942.9790743585	0.4601670021002746	0.39129379999999997	-206.06965341212708	-686.0466424170457	-3406.019382219147	-31487.511495726474
L7	lo	5e-08	0.908816880180859	4.0820081301531725e-08	4.7887020935748336e-08	8.870710223728006e-08	7813885.958148717	0.4601670021002746	0.19564689999999998	-103.06224646813611	-343.3276071769513	-1710.5630943175283	-16441.589681534682
L7	hi	2e-07	0.908816880180859	1.632803252061269e-07	1.9154808374299335e-07	3.548284089491202e-07	1953471.4895371792	0.4601670021002746	0.7825875999999999	-411.920065432809	-1369.6633101179782	-6752.1440224471435	-57856.18780577774
L8	central	1e-07	1.0	8.254209201848777e-08	1.0924200925174151e-07	1.9178410127022928e-07	3614205.6404523393	0.4303906917820242	0.39129379999999997	-256.9949661393171	-855.5010931833036	-4244.879160190777	-38998.07761773937
L8	lo	5e-08	1.0	4.127104600924388e-08	5.4621004625870757e-08	9.589205063511464e-08	7228411.280904679	0.4303906917820242	0.19564689999999998	-128.53444873009784	-428.1607252366578	-2132.615756302362	-20433.22448495955
L8	hi	2e-07	1.0	1.6508418403697553e-07	2.1848401850348303e-07	3.8356820254045856e-07	1807102.8202261697	0.4303906917820242	0.7825875999999999	-513.6943770679461	-1707.7270414235159	-8409.123977659445	-71190.4084667454
L9	central	1e-07	0.9092548076923077	5.260570227500379e-08	1.1121151663007822e-07	1.63817218905082e-07	4231222.976392759	0.3211243764642609	0.39129379999999997	-326.8825959207094	-1088.3603355584821	-5406.317852973241	-50276.728972240526
L9	lo	5e-08	0.9092548076923077	2.6302851137501895e-08	5.560575831503911e-08	8.1908609452541e-08	8462445.952785518	0.3211243764642609	0.19564689999999998	-163.4814597078755	-544.6258980879051	-2714.229464032859	-26167.313519923086
