a	b	vu_a	vu_b	rapport	p	q_bh
L5	La4	1.654450058441065	0.8085769588907032	2.046125653531886	0.006019261637239166	0.020465489566613163
L3	La4	1.5522304106619842	0.8085769588907032	1.9197064591000816	0.007624398073836276	0.02529068629370082
L4	L5	1.3017000365462965	1.654450058441065	0.7867871441056652	0.0088	0.028495238095238098
L5	L7	1.654450058441065	1.1756799425870612	1.4072282757503538	0.0092	0.029097674418604648
L4	Microti	1.3017000365462965	0.8637855922084788	1.5069712302310836	0.0108	0.033381818181818186
L4	La4	1.3017000365462965	0.8085769588907032	1.6098653594236905	0.012038523274478331	0.03638309256286784
L1	L5	2.052818915122267	1.654450058441065	1.2407862689167977	0.014	0.04139130434782609
Caprae_La2	L4	0.9490658804289023	1.3017000365462965	0.7290972219275555	0.0212	0.06134468085106383
L3	L4	1.5522304106619842	1.3017000365462965	1.1924639833155426	0.0224	0.06346666666666666
L3	L7	1.5522304106619842	1.1756799425870612	1.3202831437664326	0.0236	0.06550204081632653
L7	La4	1.1756799425870612	0.8085769588907032	1.4540111855277091	0.03130016051364366	0.08346709470304978
L5	L9	1.654450058441065	2.1157640242741023	0.7819634134334478	0.0308	0.08346709470304978
Dassie	La4	1.7274770542374547	0.8085769588907032	2.136441108348427	0.060995184590690206	0.15952586739103594
Bovis	L7	0.9255803806596564	1.1756799425870612	0.7872724090392615	0.0752	0.19296603773584906
Dassie	Microti	1.7274770542374547	0.8637855922084788	1.9998910259903013	0.08137903387452396	0.2049546038321344
Bovis	Dassie	0.9255803806596564	1.7274770542374547	0.5357989435455787	0.08298256163559832	0.20519324331711586
Dassie	Orygis_La3	1.7274770542374547	0.9468214007764908	1.8245014876308732	0.09140108238123873	0.22197405721157978
L7	Microti	1.1756799425870612	0.8637855922084788	1.3610784356580299	0.0964	0.2256985064069429
L7	Orygis_La3	1.1756799425870612	0.9468214007764908	1.2417124725136999	0.0964	0.2256985064069429
La4	Pinnipedii	0.8085769588907032	1.6146337950493628	0.5007804007137008	0.09791332263242375	0.2256985064069429
Caprae_La2	Dassie	0.9490658804289023	1.7274770542374547	0.549394203587752	0.10062136700741632	0.22612370165183074
Dassie	L2	1.7274770542374547	0.9771747535055546	1.7678281679302872	0.1014231308879535	0.22612370165183074
La4	Suricattae	0.8085769588907032	2.038144298668868	0.3967221356303343	0.10618034447821682	0.23291172337157237
L1	L6	2.052818915122267	1.7669681453939998	1.1617747159015863	0.1212	0.25523186033824335
Bovis	Suricattae	0.9255803806596564	2.038144298668868	0.45412897470712066	0.12198581560283688	0.25523186033824335
Microti	Suricattae	0.8637855922084788	2.038144298668868	0.4238098317045686	0.11833839918946303	0.25523186033824335
Orygis_La3	Suricattae	0.9468214007764908	2.038144298668868	0.4645507196889196	0.1260385005065856	0.25971569801357036
L2	Suricattae	0.9771747535055546	2.038144298668868	0.47944336136737575	0.13292806484295847	0.26332753623188404
Microti	Pinnipedii	0.8637855922084788	1.6146337950493628	0.5349730662500292	0.1328531412565026	0.26332753623188404
L6	L9	1.7669681453939998	2.1157640242741023	0.8351442434608127	0.1336	0.26332753623188404
Caprae_La2	Suricattae	0.9490658804289023	2.038144298668868	0.4656519565610475	0.13698074974670718	0.2661340280793168
Bovis	Pinnipedii	0.9255803806596564	1.6146337950493628	0.5732447713516113	0.15326130452180872	0.2935709495065632
L2	L7	0.9771747535055546	1.1756799425870612	0.8311571186247341	0.1564	0.294553530200752
L2	La4	0.9771747535055546	0.8085769588907032	1.2085117474113445	0.1581059390048154	0.294553530200752
Orygis_La3	Pinnipedii	0.9468214007764908	1.6146337950493628	0.5864000887876526	0.16686674669867949	0.3066740209597353
Caprae_La2	Pinnipedii	0.9490658804289023	1.6146337950493628	0.5877901746754206	0.17086834733893558	0.3098412698412698
Caprae_La2	L7	0.9490658804289023	1.1756799425870612	0.8072485087569845	0.1732	0.3099368421052631
L2	Pinnipedii	0.9771747535055546	1.6146337950493628	0.6051989971358678	0.18167266906762705	0.3187282051282051
