lignee	replicat	n	portee	profondeur	largeur	pn_ps_term	pn_ps_int	pi	n_syn_term	n_nonsyn_term
L5	20	42	45	32.73809523809524	203.3170731707317	0.9033182227031247	0.8399551726246485	5.196020820435481e-05	516	859
L5	21	47	54	34.4468085106383	224.32932469935244	0.936154265766421	0.8313703876529227	5.733015056700424e-05	586	1033
L5	22	29	40	35.827586206896555	279.8374384236453	0.8611029683075615	0.857288126478246	7.151593979348646e-05	402	637
L5	23	30	40	32.86666666666667	276.3586206896552	0.8286494112613223	0.8797888710453424	7.062688462982424e-05	390	596
L5	24	49	82	32.93877551020408	196.8622448979592	0.8882849880846714	0.8389737248552417	5.031059651289113e-05	606	1008
L5	25	47	64	35.38297872340426	285.6373728029602	0.8823186322804312	0.8136664382399695	7.299818520072647e-05	617	1046
L5	26	29	66	33.689655172413794	184.82266009852216	0.9355503846796669	0.7985248852028505	4.7233730792187906e-05	350	627
L5	27	43	54	34.83720930232558	221.3311184939092	0.9833269489595612	0.7879496934136953	5.656392166037622e-05	525	973
L5	28	18	69	34.55555555555556	168.64705882352942	0.8446554056713316	0.6955101894318781	4.309985459098238e-05	237	385
L5	29	34	82	35.205882352941174	186.57932263814618	0.8991166333201673	0.7766916288393295	4.768266776477066e-05	445	752
L5	30	48	49	33.8125	216.54078014184398	0.9953355888483777	0.8699040367251626	5.533969108169973e-05	565	1058
L5	31	41	65	33.609756097560975	210.3219512195122	0.9599756140875021	0.8164326846212544	5.375039196110753e-05	491	887
L5	32	25	37	34.2	199.97333333333333	0.9415662899097605	0.8643874380750225	5.1105673878127724e-05	310	545
L5	33	50	52	34.84	221.4130612244898	1.0070396960047288	0.8232101698419741	5.6584863144902834e-05	601	1141
L5	34	47	77	35.59574468085106	199.2395929694727	0.8934217920791703	0.8170690770464795	5.091815739719687e-05	621	1052
L5	35	30	38	34.86666666666667	274.0390804597701	0.9297939753913151	0.8879216590864597	7.003409725882958e-05	385	661
L5	36	50	71	33.36	213.9804081632653	0.9352500118967298	0.8079804013452764	5.468535616032386e-05	608	1060
L5	37	28	87	34.42857142857143	198.55555555555554	0.9274036056589348	0.8653128027112653	5.0743343123646614e-05	352	612
L5	38	47	85	35.851063829787236	206.04070305272896	0.9126899827201708	0.8188931097866673	5.265626571459322e-05	630	1055
L5	39	27	27	33.111111111111114	176.03988603988603	1.0513591184334614	0.804822203748516	4.498918358529729e-05	299	595
L6	0	17	60	33.705882352941174	189.01470588235293	0.8398458141352952	0.6810214930938451	4.830506025967008e-05	217	356
L6	1	16	16	33.3125	177.825	0.961272080617087	0.9488622002964615	4.5445391672446635e-05	195	338
L6	2	49	69	33.142857142857146	220.093537414966	0.8535589929759471	0.7911467711364277	5.624764241471907e-05	610	1014
L6	3	20	31	32.6	205.84736842105264	0.9171970273857938	0.9602773179667458	5.2606856643538085e-05	243	409
L6	4	21	25	35.714285714285715	241.41904761904763	1.0297658498036193	0.783024382366539	6.169764193019353e-05	260	490
L6	5	46	60	35.06521739130435	201.90048309178744	0.8746584245764973	0.7534565483921022	5.1598180981090794e-05	594	1019
L6	6	29	32	35.37931034482759	219.7832512315271	0.8345925487493359	0.9359621263660959	5.6168344919221075e-05	406	620
